This is the extracted "Skeleton Framework" of the report, based strictly on the document's structure, generalized to form a reusable template.

### Report Skeleton Framework

| Section               | Heading Title (Generalized)                                                       | Heading Formatting                       | Numbering Style (Indentation)                                                                                              |
| **Chapter**           | **CHAPTER 1. INTRODUCTION**                                                       | **Bold, All Caps, Roman Numeral/Number** | **Chapter X.** (Top Level)                                                                                                 |
|                       | 1\. Reasons for choosing the topic                                                | Initial Caps                             | 1\. (First-level subsection)                                                                                               |
|                       | 2\. Purpose of the topic                                                          | Initial Caps                             | 2\. (First-level subsection)                                                                                               |
|                       | 3\. Research subjects and scope                                                   | Initial Caps                             | 3\. (First-level subsection)                                                                                               |
|                       | 4\. Expected results                                                              | Initial Caps                             | 4\. (First-level subsection)                                                                                               |
| **Chapter**           | **CHAPTER 2. THEORETICAL FOUNDATIONS**                                            | **Bold, All Caps, Roman Numeral/Number** | **Chapter X.** (Top Level)                                                                                                 |
|                       | 2.1. Theoretical Concept 1                                                        | Initial Caps                             | 2.1. (First-level subsection)                                                                                              |
|                       | ... up to 2.14. Theoretical Concept 14                                            | Initial Caps                             | 2.X. (First-level subsection)                                                                                              |
| **Chapter**           | **CHAPTER 3. REQUIREMENTS CAPTURING AND MODELING**                                | **Bold, All Caps, Roman Numeral/Number** | **Chapter X.** (Top Level)                                                                                                 |
|                       | 3.1. Current status survey                                                        | Initial Caps                             | 3.1. (First-level subsection)                                                                                              |
|                       | 3.1.1. Case Study 1                                                               | Initial Caps                             | 3.1.1. (Second-level subsection)                                                                                           |
|                       | 3.1.2. Case Study 2                                                               | Initial Caps                             | 3.1.2. (Second-level subsection)                                                                                           |
|                       | 3.1.3. Case Study 3                                                               | Initial Caps                             | 3.1.3. (Second-level subsection)                                                                                           |
|                       | 3.2. System Requirements                                                          | Initial Caps                             | 3.2. (First-level subsection)                                                                                              |
|                       | 3.2.1. List of actions                                                            | Initial Caps                             | 3.2.1. (Second-level subsection)                                                                                           |
|                       | ... up to 3.2.4. Non-functional                                                   | Initial Caps                             | 3.2.X. (Second-level subsection)                                                                                           |
|                       | 3.3. Use Case Models                                                              | Initial Caps                             | 3.3. (First-level subsection)                                                                                              |
|                       | 3.3.1. Use case diagrams                                                          | Initial Caps                             | 3.3.1. (Second-level subsection)                                                                                           |
|                       | 3.3.2. Use case specifications                                                    | Initial Caps                             | 3.3.2. (Second-level subsection)                                                                                           |
| **Chapter**           | **CHAPTER 4. SYSTEM ANALYSIS AND DESIGN**                                         | **Bold, All Caps, Roman Numeral/Number** | **Chapter X.** (Top Level)                                                                                                 |
|                       | 4.1. System architecture                                                          | Initial Caps                             | 4.1. (First-level subsection)                                                                                              |
|                       | 4.2. Sequence diagrams                                                            | Initial Caps                             | 4.2. (First-level subsection)                                                                                              |
|                       | 4.2.1. User Action 1 (Register)                                                   | Initial Caps                             | 4.2.1. (Second-level subsection)                                                                                           |
|                       | ... up to 4.2.32. Admin Action (Update/Delete topic)                              | Initial Caps                             | 4.2.X. (Second-level subsection)                                                                                           |
|                       | 4.3. Database design                                                              | Initial Caps                             | 4.3. (First-level subsection)                                                                                              |
|                       | 4.3.1. Table description                                                          | Initial Caps                             | 4.3.1. (Second-level subsection)                                                                                           |
|                       | 4.4. User interface design                                                        | Initial Caps                             | 4.4. (First-level subsection)                                                                                              |
|                       | 4.4.1. Admin interface                                                            | Initial Caps                             | 4.4.1. (Second-level subsection)                                                                                           |
|                       | 4.4.2. User interface                                                             | Initial Caps                             | 4.4.2. (Second-level subsection)                                                                                           |
| **Chapter**           | **CHAPTER 5. IMPLEMENTATION AND TESTING**                                         | **Bold, All Caps, Roman Numeral/Number** | **Chapter X.** (Top Level)                                                                                                 |
|                       | 5.1. Development environment                                                      | Initial Caps                             | 5.1. (First-level subsection)                                                                                              |
|                       | 5.1.1. Implementation                                                             | Initial Caps                             | 5.1.1. (Second-level subsection)                                                                                           |
|                       | ... up to 5.1.3. TechStack                                                        | Initial Caps                             | 5.1.X. (Second-level subsection)                                                                                           |
|                       | 5.2. Deploy Environment                                                           | Initial Caps                             | 5.2. (First-level subsection)                                                                                              |
|                       | 5.2.1. Environment Overview                                                       | Initial Caps                             | 5.2.1. (Second-level subsection)                                                                                           |
|                       | 5.2.2. Hardware Specifications.                                                   | Initial Caps                             | 5.2.2. (Second-level subsection)                                                                                           |
|                       | 5.3. Testing                                                                      | Initial Caps                             | 5.3. (First-level subsection)                                                                                              |
|                       | 5.2.1. Test case with user                                                        | Initial Caps                             | 5.2.1. (Second-level subsection - *Note: Appears to be a numbering error in original document, jumping from 5.3 to 5.2.1*) |
|                       | 5.2.2. Test case with Admin                                                       | Initial Caps                             | 5.2.2. (Second-level subsection - *Note: Appears to be a numbering error in original document*)                            |
| **Chapter**           | **CHAPTER 6. CONCLUSION**                                                         | **Bold, All Caps, Roman Numeral/Number** | **Chapter X.** (Top Level)                                                                                                 |
|                       | 6.1. Achievements                                                                 | Initial Caps                             | 6.1. (First-level subsection)                                                                                              |
|                       | 6.1.1. Knowledge                                                                  | Initial Caps                             | 6.1.1. (Second-level subsection)                                                                                           |
|                       | ... up to 6.1.3. Product                                                          | Initial Caps                             | 6.1.X. (Second-level subsection)                                                                                           |
|                       | 6.2. Pros and Cons                                                                | Initial Caps                             | 6.2. (First-level subsection)                                                                                              |
|                       | 6.2.1. Pros                                                                       | Initial Caps                             | 6.2.1. (Second-level subsection)                                                                                           |
|                       | 6.2.2. Cons                                                                       | Initial Caps                             | 6.2.2. (Second-level subsection)                                                                                           |
|                       | 6.3. System innovation                                                            | Initial Caps                             | 6.3. (First-level subsection)                                                                                              |
|                       | 6.4. Future work                                                                  | Initial Caps                             | 6.4. (First-level subsection)                                                                                              |
| **Appendix**          | REFERENCES                                                                        | **Bold, All Caps**                       | None                                                                                                                       |
| **Appendix**          | LIST OF FIGURES                                                                   | **Bold, All Caps**                       | None                                                                                                                       |
|                       | *Chapter 2. Theoretical foundations*                                              | **Bold, Initial Caps**                   | None (acts as a section heading for figures)                                                                               |
|                       | *\[Figure 2-1. Figure Title\]*                                                    | Initial Caps                             | Figure X-Y. (Figure Caption format)                                                                                        |
|                       | *Chapter 3. Requirements capturing and modeling*                                  | **Bold, Initial Caps**                   | None (acts as a section heading for figures)                                                                               |
|                       | *\[Figure 3-1. Figure Title\]*                                                    | Initial Caps                             | Figure X-Y. (Figure Caption format)                                                                                        |
|                       | *Chapter 4. System analysis and design*                                           | **Bold, Initial Caps**                   | None (acts as a section heading for figures)                                                                               |
|                       | *\[Figure 4-1. Figure Title\]*                                                    | Initial Caps                             | Figure X-Y. (Figure Caption format)                                                                                        |

